"Supplier name","Chinese name","Category","City / province","Main products","Website","Export markets","Certifications","Suitable products for RFQ","Risk notes","Priority rating: A / B / C","Why this supplier matters","Source"
"Huawei Digital Power","华为数字能源","UPS; Data Center Facility; Critical Power","Shenzhen, Guangdong","Data center facility and critical power systems; smart power supply; energy infrastructure","https://digitalpower.huawei.com/en/","Global presence; country/regional sites listed publicly","Needs verification per product and destination market","UPS, modular power, data center facility packages, monitoring systems","Export control, sanctions, and project-country compliance must be reviewed before RFQ","A","Major China-based digital power platform with data center facility and critical power product line","https://digitalpower.huawei.com/en/"
"Kehua Tech","科华数据","UPS; Modular Data Center; Critical Power","Xiamen, Fujian","UPS, critical power, modular/micro data center, data center solutions","https://www.kehua.com/","Public site states 100+ countries and regions","Needs verification per model; request IEC/CE/UL/ISO test reports","UPS, modular data center, power modules, monitoring systems","Large supplier; confirm overseas service coverage and project references for target country","A","Established public company and China micro-module data center supplier with broad power-conversion background","https://www.kehua.com/"
"KSTAR","科士达","UPS; Cooling; Modular Data Center; Liquid Cooling","Shenzhen, Guangdong","UPS, cooling and modular data center products, batteries, data center solutions","https://www.kstar.com/","Public site states 180+ countries and regions","Needs verification per product; request CE/UL/IEC and local compliance","UPS, modular data center, precision cooling, AIDC liquid cooling packages","Validate liquid-cooling maturity and warranty terms for overseas projects","A","Strong fit for integrated UPS and cooling RFQs; public site emphasizes data center infrastructure","https://www.kstar.com/"
"INVT","英威腾","UPS; Industrial Power","Shenzhen, Guangdong","UPS and industrial power electronics","https://www.invt.com/","Needs verification","Needs verification","UPS, industrial power conversion products","Official site access was limited during research; verify current product catalog before RFQ","B","Known Shenzhen power-electronics manufacturer; candidate for UPS price benchmarking","https://www.invt.com/"
"Vertiv China","维谛技术中国","UPS; PDU; Thermal Management; Integrated Rack","Shenzhen / China operations","UPS, PDU, thermal management, racks, data center infrastructure","https://www.vertiv.com/","Global","Needs verification by China entity and product origin","UPS, rack PDU, thermal management, integrated rack systems","Foreign-owned group; treat as China-operations supplier, not purely domestic Chinese brand","A","Useful premium benchmark for mission-critical power, PDU and cooling packages","https://www.vertiv.com/"
"Envicool","深圳市英维克科技股份有限公司","Precision Cooling; Liquid Cooling Components","Shenzhen, Guangdong","Data center thermal management, precision cooling, liquid cooling and energy-saving cooling systems","https://en.envicool.com/","Needs verification","Needs verification","Rear-door cooling, CDU, liquid cooling components, precision air conditioners","Confirm exact AIDC product scope and overseas support before RFQ","A","Specialized China-based thermal management supplier for high-density computing projects","https://en.envicool.com/"
"Shenling Environmental","申菱环境","HVAC; Precision Cooling","Foshan, Guangdong","Industrial air conditioning, precision cooling and environmental control systems","https://en.shenling.com/","Needs verification","Needs verification","Precision air conditioners, chillers, HVAC units for data center support","Official English site access was limited during research; verify current certificates and export cases","B","Candidate for HVAC and precision cooling packages where local customization is needed","https://en.shenling.com/"
"Gree Electric Appliances","格力电器","HVAC; Industrial Components","Zhuhai, Guangdong","Commercial HVAC, industrial components, compressors, motors, electric wire and valves","https://global.gree.com/","Global distributor network listed publicly","Needs verification per commercial product","Commercial HVAC, chillers, industrial cooling components, electric wire","Consumer brand strength does not automatically validate data-center-grade precision cooling","B","Large manufacturing base and commercial HVAC platform; useful for cooling RFQ comparison","https://global.gree.com/"
"Midea Group","美的集团","HVAC; Energy Management","Foshan, Guangdong","HVAC, heating and cooling, energy management and commercial/industrial solutions","https://www.midea.com/global","Public site states global brand presence and products across HVAC and energy management","Needs verification per model","HVAC systems, chillers, energy management support products","Confirm data-center-specific references; may be stronger in general HVAC than precision cooling","B","Major Chinese HVAC manufacturer with overseas footprint and commercial product channels","https://www.midea.com/global"
"Hisense HVAC","海信暖通","HVAC; Chiller","Qingdao, Shandong","VRF, chillers, air solution products, HVAC tools and technical resources","https://www.hisensehvac.com/","Global site with regional coverage","Needs verification per product","VRF, chillers, air-side HVAC systems","Confirm precision data-center use cases before RFQ","B","Alternative China HVAC platform for chiller and air-side system sourcing","https://www.hisensehvac.com/"
